,Run,run_length,runner_up_highest,standard_lowest,standard_reached,num_agents,num_edges,num_variants,link_generator,variant_exchange,multiplexity_range
113,113,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
114,114,3683,633.0,143.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
115,115,2489,465.0,103.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
116,116,1494,558.0,70.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
117,117,1767,429.0,165.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
118,118,2438,838.0,93.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
119,119,4880,764.0,60.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
120,120,4253,670.0,157.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
121,121,1822,644.0,125.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
122,122,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
123,123,4261,731.0,30.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
124,124,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
